t,count,mean_rate,m1_rate
1500461736,183228,42.680642907058,126.11666666666666
1500461745,184708,42.93537889353789,129.45
1500461755,185867,43.10459183673469,126.26666666666667
1500461765,187409,43.361638130495145,130.05
1500461775,188771,43.57594644506002,131.85
1500461784,189821,43.72748214697074,132.8
1500461794,191349,43.97816593886463,135.35
1500461804,192603,44.16487044255905,131.58333333333334
1500461814,194027,44.389613360787,136.0
1500461824,195277,44.57361333028989,131.13333333333333
1500461833,196552,44.77266514806378,129.68333333333334
1500461843,197865,44.96931818181818,134.06666666666666
1500461853,199016,45.128344671201816,127.78333333333333
1500461863,200231,45.30113122171946,127.13333333333334
1500461872,201451,45.48453375479792,123.73333333333333
1500461882,202650,45.65217391304348,122.88333333333334
1500461892,204176,45.89256012587098,127.06666666666666
1500461902,205396,46.06324287956941,125.51666666666667
1500461912,206670,46.24524502125755,127.56666666666666
1500461921,207933,46.434345690040196,128.36666666666667
1500461931,208430,46.44162210338681,116.31666666666666
1500461941,210384,46.77278790573588,128.9
1500461951,211598,46.93833185448092,123.7
1500461960,213081,47.17312375470445,128.08333333333334
1500461970,214462,47.37397835210957,129.86666666666667
1500461980,215693,47.54088604804937,129.33333333333334
1500461990,216995,47.722674290741146,142.75
1500462000,218179,47.87777046302392,129.91666666666666
1500462009,219578,48.08979413053,133.0
1500462019,220966,48.28802447552447,131.41666666666666
1500462029,222317,48.47732228521588,130.91666666666666
1500462039,223445,48.61727589208007,129.2
1500462048,224688,48.79218241042345,128.21666666666667
1500462058,226139,49.000866738894906,132.66666666666666
1500462068,227449,49.17816216216216,131.18333333333334
1500462078,229098,49.42783171521035,135.53333333333333
1500462088,230633,49.6518837459634,138.6
1500462097,231822,49.81134507950151,139.61666666666667
1500462107,232869,49.92903087478559,136.35
1500462117,233962,50.056054771074024,130.38333333333333
1500462127,235179,50.20900939368062,128.83333333333334
1500462136,236441,50.38163221819732,122.38333333333334
1500462146,237686,50.53923027854561,117.55
1500462156,239073,50.72628898790579,120.85
1500462166,240519,50.925047639212366,127.5
1500462175,241735,51.08516483516483,129.55
1500462185,242950,51.233656684943064,129.51666666666668
1500462195,244183,51.385311447811446,129.03333333333333
1500462205,245512,51.556488870222594,130.43333333333334
1500462215,246916,51.74266554903604,130.71666666666667
1500462224,248256,51.92553859025308,128.95
1500462234,249676,52.113546232519305,132.35
1500462244,251018,52.28452405748802,134.46666666666667
1500462254,252228,52.42735398046144,134.08333333333334
1500462263,253657,52.62593360995851,135.75
1500462273,254994,52.79378881987578,134.63333333333333
1500462283,256264,52.94710743801653,133.46666666666667
1500462293,257473,53.08721649484536,129.95
1500462303,259017,53.29567901234568,133.31666666666666
1500462312,260295,53.459642637091804,134.45
1500462322,261703,53.63865546218487,134.1
1500462332,262872,53.76805072611986,131.3
1500462342,264285,53.946723821187994,133.68333333333334
1500462351,265706,54.13732681336593,137.21666666666667
1500462361,267379,54.36742578283855,139.36666666666667
1500462371,269170,54.620535714285715,147.91666666666666
1500462381,270594,54.798298906439854,148.18333333333334
1500462390,271874,54.95734788760865,150.03333333333333
1500462400,272961,55.06576558402259,144.6
1500462410,274342,55.23293738675257,143.93333333333334
1500462420,275665,55.38778380550532,138.1
1500462429,276751,55.50561572402728,126.35
1500462439,277956,55.63570856685348,122.7
1500462449,279416,55.81622053535757,125.7
1500462459,280778,55.97647527910686,130.28333333333333
1500462469,282346,56.17707918822125,133.4
1500462478,283803,56.366037735849055,135.63333333333333
1500462488,285126,56.51655104063429,139.58333333333334
1500462498,286298,56.63659742828882,139.03333333333333
1500462508,287565,56.77492596248766,135.81666666666666
1500462517,288999,56.956838785967676,137.01666666666668
1500462527,290238,57.08851298190401,131.53333333333333
1500462537,291710,57.2654102866117,131.78333333333333
1500462547,293015,57.40889498432602,131.48333333333332
1500462557,294331,57.55396949550254,133.88333333333333
1500462566,295571,57.694905328908845,133.43333333333334
1500462576,296756,57.813364504188584,129.28333333333333
1500462586,297987,57.940307213688506,129.15
1500462596,299240,58.071026586454494,125.5
1500462605,300344,58.18364974815963,122.15
1500462615,301463,58.28750966744006,118.86666666666666
1500462625,302800,58.433037437282906,120.48333333333333
1500462635,304254,58.60053929121726,124.96666666666667
1500462644,305680,58.77331282445684,128.21666666666667
1500462654,306572,58.831702168489734,122.2
1500462664,307700,58.93506990997893,122.6
1500462674,308687,59.011087746128844,120.4
1500462684,310288,59.20396870826178,124.8
1500462693,311656,59.36304761904762,123.36666666666666
1500462703,312819,59.4712927756654,118.98333333333333
1500462713,313742,59.53358633776091,119.5
1500462723,315054,59.669318181818184,122.56666666666666
1500462732,316086,59.76290414066931,123.31666666666666
1500462742,317189,59.85827514625401,115.01666666666667
1500462752,318230,59.94160858918817,109.56666666666666
1500462762,319444,60.05715360030081,110.41666666666667
1500462771,320575,60.16798048048048,113.88333333333334
1500462781,321819,60.28831022855002,112.75
1500462791,323047,60.405198204936426,116.01666666666667
1500462801,324062,60.481896229936545,114.55
1500462810,325337,60.61803614682318,118.45
1500462820,326465,60.71508275990329,117.01666666666667
1500462830,327900,60.86875812140338,122.08333333333333
1500462840,329077,60.974059662775616,120.96666666666667
1500462850,330150,61.059737377473645,118.38333333333334
1500462859,331371,61.18371491875923,121.81666666666666
1500462869,332478,61.274972355326206,119.01666666666667
1500462879,333744,61.39514348785872,121.31666666666666
1500462889,334929,61.5,117.15
1500462898,336309,61.651512373968835,120.53333333333333
1500462908,337512,61.75882891125343,122.7
1500462918,338533,61.83251141552511,119.36666666666666
1500462928,339831,61.95642661804923,122.55
1500462937,340937,62.05624317437204,119.88333333333334
1500462947,342096,62.15406976744186,119.45
1500462957,343382,62.27457381211462,117.88333333333334
1500462967,344499,62.36404779145547,116.45
1500462976,345676,62.47532983914694,119.05
1500462986,346806,62.5664802453545,116.25
1500462996,348091,62.685215198991536,119.23333333333333
1500463006,349214,62.77440230091677,118.63333333333334
1500463016,350438,62.88139242777678,117.6
1500463025,351679,63.00232891436761,119.66666666666667
1500463035,352927,63.11283977110158,120.85
1500463045,353953,63.183327383077476,119.11666666666666
1500463055,354952,63.24875267284391,114.35
1500463064,356154,63.36132360789895,115.66666666666667
1500463074,357370,63.464748712484464,115.53333333333333
1500463084,358929,63.62861194823613,120.83333333333333
1500463094,359978,63.701645726420104,117.51666666666667
1500463103,361371,63.84646643109541,123.63333333333334
1500463113,362791,63.984303350970016,130.65
1500463123,363883,64.06390845070422,128.81666666666666
1500463133,365129,64.17029876977153,129.31666666666666
1500463142,366575,64.32268819091068,127.43333333333334
1500463152,367315,64.33963916622876,122.28333333333333
1500463162,368612,64.45392551145305,120.68333333333334
1500463172,369812,64.55088148018851,117.01666666666667
1500463182,371001,64.64558285415578,118.63333333333334
1500463191,372315,64.77296450939457,119.76666666666667
1500463201,373709,64.90257033692254,118.9
1500463211,374904,64.99722607489598,126.48333333333333
1500463221,375895,65.05624783662167,121.38333333333334
1500463230,377624,65.25384482460687,130.2
1500463240,378898,65.36104881835432,131.61666666666667
1500463250,380064,65.44928534527294,129.15
1500463260,381237,65.53842186694172,125.46666666666667
1500463269,382301,65.61980775832475,123.28333333333333
1500463279,383439,65.70236463331048,125.73333333333333
1500463289,384614,65.79096818337325,116.5
1500463299,385705,65.86492486338798,113.45
1500463308,386953,65.9766410912191,114.81666666666666
1500463318,388079,66.056,114.03333333333333
1500463328,388988,66.0982158028887,111.45
1500463338,390566,66.25377438507209,118.78333333333333
1500463347,391718,66.34789972899729,118.4
1500463357,392869,66.43033479878255,119.4
1500463367,394246,66.550641458474,121.55
1500463377,395447,66.64088304684867,122.8
1500463386,396577,66.73010264176342,126.48333333333333
1500463396,397717,66.80950781118764,119.18333333333334
1500463406,399172,66.94147241321483,124.23333333333333
1500463416,400297,67.01774652603382,123.8
1500463426,401500,67.10680260738759,120.9
1500463435,402897,67.23915220293725,124.16666666666667
1500463445,403905,67.29506831056315,122.13333333333334
1500463455,405001,67.36543579507651,121.4
1500463465,406345,67.47675190966456,119.55
1500463474,407567,67.57867683634555,121.16666666666667
1500463484,408893,67.6863102135408,123.21666666666667
1500463494,410074,67.7696248553958,119.61666666666666
1500463504,411408,67.87790793598415,125.05
1500463513,412560,67.9670510708402,125.98333333333333
1500463523,413549,68.01792763157894,120.06666666666666
1500463533,414893,68.12692939244663,122.1
1500463543,416351,68.25426229508197,124.3
1500463552,417506,68.34277295793092,123.86666666666666
1500463562,418765,68.43683608432751,122.61666666666666
1500463572,419982,68.52373959862946,123.7
1500463582,421002,68.5782700765597,124.21666666666667
1500463591,422208,68.6740403383214,121.91666666666667
1500463601,423250,68.73173108151997,114.98333333333333
1500463611,424223,68.77804798962387,111.95
1500463621,425663,68.89980576238264,114.96666666666667
1500463630,426871,68.99482786487798,114.81666666666666
1500463640,428191,69.09649830563175,119.81666666666666
